Name,IAU abbreviation,Other abbreviation,Genitive,Family,Origin,Meaning,Brightest star
Andromeda,And,Andr,Andromedae,Perseus,ancient (Ptolemy),Andromeda (The chained lady or the Princess),Alpheratz
Antlia,Ant,Antl,Antliae,La Caille,"1763, Lacaille",air pump,? Antliae
Apus,Aps,Apus,Apodis,Bayer,"1603, , created by Keyser and de Houtman",Bird-of-paradise,? Apodis
Aquarius,Aqr,Aqar,Aquarii,Zodiac,ancient (Ptolemy),water-bearer,Sadalsuud
Aquila,Aql,Aqil,Aquilae,Hercules,ancient (Ptolemy),eagle,Altair
Ara,Ara,Arae,Arae,Hercules,ancient (Ptolemy),altar,? Arae
Aries,Ari,Arie,Arietis,Zodiac,ancient (Ptolemy),ram,Hamal
Auriga,Aur,Auri,Aurigae,Perseus,ancient (Ptolemy),charioteer,Capella
Boötes,Boo,Boot,Boötis,Ursa Major,ancient (Ptolemy),herdsman,Arcturus
Caelum,Cae,Cael,Caeli,La Caille,"1763, Lacaille",chisel,? Caeli
Camelopardalis,Cam,Caml,Camelopardalis,Ursa Major,"1613, Plancius",giraffe,? Camelopardalis
Cancer,Cnc,Canc,Cancri,Zodiac,ancient (Ptolemy),crab,Tarf
Canes Venatici,CVn,CVen,Canum Venaticorum,Ursa Major,"1690, , Hevelius",hunting dogs,Cor Caroli
Canis Major,CMa,CMaj,Canis Majoris,Orion,ancient (Ptolemy),greater dog,Sirius
Canis Minor,CMi,CMin,Canis Minoris,Orion,ancient (Ptolemy),lesser dog,Procyon
Capricornus,Cap,Capr,Capricorni,Zodiac,ancient (Ptolemy),sea goat,Deneb Algiedi
Carina,Car,Cari,Carinae,Heavenly Waters,"1763, Lacaille, split from Argo Navis",keel,Canopus
Cassiopeia,Cas,Cass,Cassiopeiae,Perseus,ancient (Ptolemy),Cassiopeia (mythological character),Shedir
Centaurus,Cen,Cent,Centauri,Hercules,ancient (Ptolemy),centaur,Alpha Centauri
Cepheus,Cep,Ceph,Cephei,Perseus,ancient (Ptolemy),Cepheus (mythological character),Alderamin
Cetus,Cet,Ceti,Ceti,Perseus,ancient (Ptolemy),sea monster (later interpreted as a whale),Deneb Kaitos
Chamaeleon,Cha,Cham,Chamaeleontis,Bayer,"1603, , created by Keyser and de Houtman",chameleon,? Chamaeleontis
Circinus,Cir,Circ,Circini,La Caille,"1763, Lacaille",compass (drawing tool),? Circini
Columba,Col,Colm,Columbae,Heavenly Waters,"1592, Plancius, split from Canis Major",dove,Phact
Coma Berenices,Com,Coma,Comae Berenices,Ursa Major,"1603, , split from Leo",Berenice's hair,? Comae Berenices
Corona Australis,CrA,CorA,Coronae Australis,Hercules,ancient (Ptolemy),southern crown,Alphekka Meridiana
Corona Borealis,CrB,CorB,Coronae Borealis,Ursa Major,ancient (Ptolemy),northern crown,Alphecca
Corvus,Crv,Corv,Corvi,Hercules,ancient (Ptolemy),crow,Gienah
Crater,Crt,Crat,Crateris,Hercules,ancient (Ptolemy),cup,Labrum
Crux,Cru,Cruc,Crucis,Hercules,"1603, , split from Centaurus",southern cross,Acrux
Cygnus,Cyg,Cygn,Cygni,Hercules,ancient (Ptolemy),swan or Northern Cross,Deneb
Delphinus,Del,Dlph,Delphini,Heavenly Waters,ancient (Ptolemy),dolphin,Rotanev
Dorado,Dor,Dora,Doradus,Bayer,"1603, , created by Keyser and de Houtman",goldfish,? Doradus
Draco,Dra,Drac,Draconis,Ursa Major,ancient (Ptolemy),dragon,Etamin
Equuleus,Equ,Equl,Equulei,Heavenly Waters,ancient (Ptolemy),pony,Kitalpha
Eridanus,Eri,Erid,Eridani,Heavenly Waters,ancient (Ptolemy),river Eridanus (mythology),Achernar
Fornax,For,Forn,Fornacis,La Caille,"1763, Lacaille",chemical furnace,Fornacis
Gemini,Gem,Gemi,Geminorum,Zodiac,ancient (Ptolemy),twins,Pollux
Grus,Gru,Grus,Gruis,Bayer,"1603, , created by Keyser and de Houtman",Crane,Alnair
Hercules,Her,Herc,Herculis,Hercules,ancient (Ptolemy),Hercules (mythological character),Kornephoros
Horologium,Hor,Horo,Horologii,La Caille,"1763, Lacaille",pendulum clock,? Horologii
Hydra,Hya,Hyda,Hydrae,Hercules,ancient (Ptolemy),Hydra (mythological creature),Alphard
Hydrus,Hyi,Hydi,Hydri,Bayer,"1603, , created by Keyser and de Houtman",lesser water snake,? Hydri
Indus,Ind,Indi,Indi,Bayer,"1603, , created by Keyser and de Houtman",Indian (American indigenous),The Persian
Lacerta,Lac,Lacr,Lacertae,Perseus,"1690, , Hevelius",lizard,? Lacertae
Leo,Leo,Leon,Leonis,Zodiac,ancient (Ptolemy),lion,Regulus
Leo Minor,LMi,LMin,Leonis Minoris,Ursa Major,"1690, , Hevelius",lesser lion,Praecipua
Lepus,Lep,Leps,Leporis,Orion,ancient (Ptolemy),hare,Arneb
Libra,Lib,Libr,Librae,Zodiac,ancient (Ptolemy),balance,Zubeneshamali
Lupus,Lup,Lupi,Lupi,Hercules,ancient (Ptolemy),wolf,Men
Lynx,Lyn,Lync,Lyncis,Ursa Major,"1690, , Hevelius",lynx,Elvashak
Lyra,Lyr,Lyra,Lyrae,Hercules,ancient (Ptolemy),lyre / harp,Vega
Mensa,Men,Mens,Mensae,La Caille,"1763, Lacaille",Table Mountain (South Africa),? Mensae
Microscopium,Mic,Micr,Microscopii,La Caille,"1763, Lacaille",microscope,? Microscopii
Monoceros,Mon,Mono,Monocerotis,Orion,"1613, Plancius",unicorn,? Monocerotis
Musca,Mus,Musc,Muscae,Bayer,"1603, , created by Keyser and de Houtman",fly,? Muscae
Norma,Nor,Norm,Normae,La Caille,"1763, Lacaille",carpenter's level,?2 Normae
Octans,Oct,Octn,Octantis,La Caille,"1763, Lacaille",octant (instrument),? Oct
Ophiuchus,Oph,Ophi,Ophiuchi,Hercules,ancient (Ptolemy),serpent-bearer,Ras Alhague
Orion,Ori,Orio,Orionis,Orion,ancient (Ptolemy),Orion (mythological character),Rigel
Pavo,Pav,Pavo,Pavonis,Bayer,"1603, , created by Keyser and de Houtman",peacock,Peacock
Pegasus,Peg,Pegs,Pegasi,Perseus,ancient (Ptolemy),Pegasus (mythological winged horse),Enif
Perseus,Per,Pers,Persei,Perseus,ancient (Ptolemy),Perseus (mythological character),Mirfak
Phoenix,Phe,Phoe,Phoenicis,Bayer,"1603, , created by Keyser and de Houtman",phoenix,Ankaa
Pictor,Pic,Pict,Pictoris,La Caille,"1763, Lacaille",easel,? Pictoris
Pisces,Psc,Pisc,Piscium,Zodiac,ancient (Ptolemy),fishes,Alpherg
Piscis Austrinus,PsA,PscA,Piscis Austrini,Heavenly Waters,ancient (Ptolemy),southern fish,Fomalhaut
Puppis,Pup,Pupp,Puppis,Heavenly Waters,"1763, Lacaille, split from Argo Navis",poop deck,Naos
Pyxis,Pyx,Pyxi,Pyxidis,Heavenly Waters,"1763, Lacaille",mariner's compass,? Pyxidis
